,forward,datetime,month,strike,mid,close,strike_rev,ric_call,ric_put,ric_call_rev,ric_put_rev,delivery_date,T,r,c,p,p_rev,c_rev,q,iv_call,iv_put,iv_call_ref,iv_put_ref,diff - call,diff - put
36,2,13/5/2022,5,19800,19762.115,19898.77,19600,HSI19800G2.HF,HSI19800S2.HF,HSI19600G2.HF,HSI19600S2.HF,29/7/2022,0.210958904,0.005202304,882,1220,1120,981,0.110593555,0.290354238,0.290244447,0.29273852,0.29797325,0.002384282,0.007728803
37,2,16/5/2022,5,20000,20004.98,19950.21,20200,HSI20000G2.HF,HSI20000S2.HF,HSI20200G2.HF,HSI20200S2.HF,29/7/2022,0.202739726,0.005250003,825,1218,1346,739,0.092738218,0.285187599,0.283157628,0.29036764,0.27839007,0.005180041,0.004767558
38,2,17/5/2022,5,20400,20397.945,20602.52,20200,HSI20400G2.HF,HSI20400S2.HF,HSI20200G2.HF,HSI20200S2.HF,29/7/2022,0.2,0.005297099,932,1089,993,1038,0.093086493,0.278499916,0.278806422,0.27881146,0.27777068,0.000311544,0.001035742
39,2,18/5/2022,5,20600,20605.0125,20644.28,20800,HSI20600G2.HF,HSI20600S2.HF,HSI20800G2.HF,HSI20800S2.HF,29/7/2022,0.197260274,0.005363844,772,1198,1307,688,0.121441901,0.268591912,0.26954844,0.27180635,0.27500247,0.003214438,0.00545403
40,2,19/5/2022,5,20200,20117.6125,20120.68,20000,HSI20200G2.HF,HSI20200S2.HF,HSI20000G2.HF,HSI20000S2.HF,29/7/2022,0.194520548,0.005495308,761,1250,1143,852,0.111618721,0.281507156,0.28124693,0.28641174,0.2768116,0.004904584,0.00443533
41,2,20/5/2022,5,20600,20597.75,20717.24,20400,HSI20600G2.HF,HSI20600S2.HF,HSI20400G2.HF,HSI20400S2.HF,29/7/2022,0.191780822,0.005528718,830,1137,1039,929,0.113855648,0.273822035,0.273427512,0.28349182,0.27500247,0.009669785,0.001574958
42,2,23/5/2022,5,20600,20506.255,20470.06,20400,HSI20600G2.HF,HSI20600S2.HF,HSI20400G2.HF,HSI20400S2.HF,29/7/2022,0.183561644,0.00556692,724,1224,1114,814,0.10506408,0.27448662,0.274516718,0.28349182,0.27500247,0.0090052,0.000485752
43,2,24/5/2022,5,20200,20257.87,20112.1,20400,HSI20200G2.HF,HSI20200S2.HF,HSI20400G2.HF,HSI20400S2.HF,29/7/2022,0.180821918,0.005579421,747,1152,1273,664,0.094170151,0.276521216,0.275890725,0.27960697,0.28163834,0.003085754,0.005747615
44,2,25/5/2022,5,20200,20181.3875,20171.27,20000,HSI20200G2.HF,HSI20200S2.HF,HSI20000G2.HF,HSI20000S2.HF,29/7/2022,0.178082192,0.00560454,728,1127,1021,825,0.109298949,0.271560914,0.272044486,0.27317225,0.28163834,0.001611336,0.009593854
45,2,26/5/2022,5,20200,20137.85,20116.2,20000,HSI20200G2.HF,HSI20200S2.HF,HSI20000G2.HF,HSI20000S2.HF,29/7/2022,0.175342466,0.005630158,678,1140,1030,768,0.113977349,0.267195829,0.267226128,0.26914448,0.26878109,0.001948651,0.001554962
46,2,27/5/2022,5,20600,20654.33,20697.36,20800,HSI20600G2.HF,HSI20600S2.HF,HSI20800G2.HF,HSI20800S2.HF,29/7/2022,0.17260274,0.005611692,803,951,1045,709,0.073070973,0.256713475,0.258456003,0.26141767,0.25994648,0.004704195,0.001490477
47,2,30/5/2022,5,21000,21027.8825,21123.93,21200,HSI21000G2.HF,HSI21000S2.HF,HSI21200G2.HF,HSI21200S2.HF,29/7/2022,0.164383562,0.005626097,784,912,1016,689,0.078529391,0.250241927,0.250362763,0.25323573,0.24955775,0.002993803,0.000805013
48,2,31/5/2022,5,21200,21241.6325,21415.2,21400,HSI21200G2.HF,HSI21200S2.HF,HSI21400G2.HF,HSI21400S2.HF,29/7/2022,0.161643836,0.005619272,897,810,905,788,0.04335035,0.250944513,0.250329016,0.25459273,0.25013731,0.003648217,0.000191706
49,2,1/6/2022,6,21400,21317.18,21294.94,21200,HSI21400H2.HF,HSI21400T2.HF,HSI21200H2.HF,HSI21200T2.HF,31/8/2022,0.249315068,0.00577276,818,1275,1159,912,0.071755702,0.244282305,0.245524657,0.25852093,0.24913376,0.014238625,0.003609103
50,2,2/6/2022,6,21000,21034.7775,21082.13,21200,HSI21000H2.HF,HSI21000T2.HF,HSI21200H2.HF,HSI21200T2.HF,31/8/2022,0.246575342,0.005826077,922,1118,1228,826,0.060354545,0.24649688,0.245732727,0.24973851,0.25084506,0.00324163,0.005112333
51,2,6/6/2022,6,21400,21414.6,21653.9,21600,HSI21400H2.HF,HSI21400T2.HF,HSI21600H2.HF,HSI21600T2.HF,31/8/2022,0.235616438,0.005817538,1047,997,1090,950,0.044994605,0.246142425,0.247318262,0.24507363,0.24913376,0.001068795,0.001815498
52,2,7/6/2022,6,21600,21562.05,21531.67,21400,HSI21600H2.HF,HSI21600T2.HF,HSI21400H2.HF,HSI21400T2.HF,31/8/2022,0.232876712,0.005860851,819,1198,1101,915,0.069056346,0.2427523,0.241923956,0.23589743,0.26030868,0.00685487,0.018384724
53,2,8/6/2022,6,22000,21900.5225,22014.59,21800,HSI22000H2.HF,HSI22000T2.HF,HSI21800H2.HF,HSI21800T2.HF,31/8/2022,0.230136986,0.005908528,860,1161,1061,955,0.069206597,0.240673357,0.240102069,0.24125438,0.24182835,0.000581023,0.001726281
54,2,9/6/2022,6,22000,21967.835,21869.05,21800,HSI22000H2.HF,HSI22000T2.HF,HSI21800H2.HF,HSI21800T2.HF,31/8/2022,0.22739726,0.005964102,818,1179,1075,913,0.052643032,0.23852413,0.238435118,0.23894296,0.24182835,0.00041883,0.003393232
55,2,10/6/2022,6,21600,21687.9,21806.18,21800,HSI21600H2.HF,HSI21600T2.HF,HSI21800H2.HF,HSI21800T2.HF,31/8/2022,0.224657534,0.006118435,967,1022,1123,867,0.059901544,0.244293387,0.244136618,0.24764856,0.24704637,0.003355173,0.002909752
56,2,13/6/2022,6,21200,21136.005,21067.58,21000,HSI21200H2.HF,HSI21200T2.HF,HSI21000H2.HF,HSI21000T2.HF,31/8/2022,0.216438356,0.006396785,807,1278,1171,902,0.081144026,0.26392459,0.264223055,0.24720394,0.25218233,0.01672065,0.012040725
57,2,14/6/2022,6,21000,20936.045,21067.99,20800,HSI21000H2.HF,HSI21000T2.HF,HSI20800H2.HF,HSI20800T2.HF,31/8/2022,0.21369863,0.00720844,910,1150,1052,1011,0.076283696,0.266952133,0.266861552,0.26872871,0.25672574,0.001776577,0.010135812
58,3,1/6/2022,6,21400,21317.18,21294.94,21200,HSI21400I2.HF,HSI21400U2.HF,HSI21200I2.HF,HSI21200U2.HF,30/9/2022,0.331506849,0.008954984,938,1453,1343,1033,0.067407219,0.243161221,0.243748929,0.2488842,0,0.005722979,
59,3,2/6/2022,6,21000,21034.7775,21082.13,21200,HSI21000I2.HF,HSI21000U2.HF,HSI21200I2.HF,HSI21200U2.HF,30/9/2022,0.328767123,0.008959147,1039,1308,1412,946,0.059984735,0.245643313,0.245898397,0.24963532,0.24758123,0.003992007,0.001682833
60,3,6/6/2022,6,21400,21414.6,21653.9,21600,HSI21400I2.HF,HSI21400U2.HF,HSI21600I2.HF,HSI21600U2.HF,30/9/2022,0.317808219,0.00895211,1164,1178,1275,1066,0.047802712,0.2440247,0.244487623,0.24150366,0.24441116,0.00252104,7.64632E-05
61,3,7/6/2022,6,21600,21562.05,21531.67,21400,HSI21600I2.HF,HSI21600U2.HF,HSI21400I2.HF,HSI21400U2.HF,30/9/2022,0.315068493,0.00895211,941,1393,1281,1034,0.065790583,0.241488667,0.242079884,0.24464969,0.24147232,0.003161023,0.000607564
62,3,8/6/2022,6,22000,21900.5225,22014.59,21800,HSI22000I2.HF,HSI22000U2.HF,HSI21800I2.HF,HSI21800U2.HF,30/9/2022,0.312328767,0.008935559,980,1348,1244,1076,0.065178666,0.238217268,0.238275322,0.24111788,0.23879137,0.002900612,0.000516048
63,3,9/6/2022,6,22000,21967.835,21869.05,21800,HSI22000I2.HF,HSI22000U2.HF,HSI21800I2.HF,HSI21800U2.HF,30/9/2022,0.309589041,0.008959147,942,1368,1263,1039,0.05282052,0.236933428,0.237201722,0.24242203,0.23879137,0.005488602,0.001589648
64,3,10/6/2022,6,21600,21687.9,21806.18,21800,HSI21600I2.HF,HSI21600U2.HF,HSI21800I2.HF,HSI21800U2.HF,30/9/2022,0.306849315,0.009157938,1091,1206,1310,991,0.057911255,0.242162295,0.241680358,0.24257692,0.24481834,0.000414625,0.003137982
65,3,13/6/2022,6,21200,21136.005,21067.58,21000,HSI21200I2.HF,HSI21200U2.HF,HSI21000I2.HF,HSI21000U2.HF,30/9/2022,0.298630137,0.009363129,932,1467,1360,1022,0.074412354,0.259719062,0.259445632,0.2455077,0.24351211,0.014211362,0.015933522
66,3,14/6/2022,6,21000,20936.045,21067.99,20800,HSI21000I2.HF,HSI21000U2.HF,HSI20800I2.HF,HSI20800U2.HF,30/9/2022,0.295890411,0.010330358,1028,1343,1242,1141,0.071293844,0.260861562,0.262494059,0.26039208,0.25972112,0.000469482,0.002772939
67,4,3/5/2022,5,21000,20992.46,21101.89,20800,HSI21000I2.HF,HSI21000U2.HF,HSI20800I2.HF,HSI20800U2.HF,30/9/2022,0.410958904,0.00922614,1174,1604,1500,1274,0.071257301,0.260384076,0.26083823,0.25657611,0,0.003807966,
68,4,4/5/2022,5,21000,20928.7875,20869.52,20800,HSI21000I2.HF,HSI21000U2.HF,HSI20800I2.HF,HSI20800U2.HF,30/9/2022,0.408219178,0.009394111,1031,1709,1611,1126,0.075211449,0.256568349,0.255959636,0.25657611,0,7.76125E-06,
69,4,5/5/2022,5,21000,21004.5925,20793.4,21200,HSI21000I2.HF,HSI21000U2.HF,HSI21200I2.HF,HSI21200U2.HF,30/9/2022,0.405479452,0.009522255,973,1736,1854,896,0.076514507,0.253037897,0.253455436,0.25657611,0,0.003538213,
70,4,6/5/2022,5,20200,20145.6925,20001.96,20000,HSI20200I2.HF,HSI20200U2.HF,HSI20000I2.HF,HSI20000U2.HF,30/9/2022,0.402739726,0.009658047,1028,1749,1640,1117,0.075877256,0.271889807,0.271764261,0.2668343,0.26418986,0.005055507,0.007574401
71,4,10/5/2022,5,19400,19467.9725,19633.69,19600,HSI19400I2.HF,HSI19400U2.HF,HSI19600I2.HF,HSI19600U2.HF,30/9/2022,0.391780822,0.009838948,1244,1573,1672,1139,0.084549835,0.29376895,0.293266122,0,0.29044787,,0.002818252
72,4,11/5/2022,5,19800,19723.4725,19824.57,19600,HSI19800I2.HF,HSI19800U2.HF,HSI19600I2.HF,HSI19600U2.HF,30/9/2022,0.389041096,0.010037252,1166,1606,1513,1263,0.071832947,0.28414104,0.283179078,0.27250393,0,0.01163711,
73,4,12/5/2022,5,19600,19502.8475,19380.34,19400,HSI19600I2.HF,HSI19600U2.HF,HSI19400I2.HF,HSI19400U2.HF,30/9/2022,0.38630137,0.010413075,1020,1806,1696,1105,0.087912943,0.291061855,0.290605746,0.28537515,0.28921471,0.005686705,0.001391036
74,4,13/5/2022,5,19800,19762.115,19898.77,19600,HSI19800I2.HF,HSI19800U2.HF,HSI19600I2.HF,HSI19600U2.HF,30/9/2022,0.383561644,0.010921929,1152,1576,1479,1250,0.080852084,0.281419624,0.280982476,0.29215251,0.29077894,0.010732886,0.009796464
75,4,16/5/2022,5,20000,20004.98,19950.21,20200,HSI20000I2.HF,HSI20000U2.HF,HSI20200I2.HF,HSI20200U2.HF,30/9/2022,0.375342466,0.011191953,1102,1593,1704,1010,0.071319802,0.277829435,0.277424357,0.2857673,0.275016,0.007937865,0.002408357
76,4,17/5/2022,5,20400,20397.945,20602.52,20200,HSI20400I2.HF,HSI20400U2.HF,HSI20200I2.HF,HSI20200U2.HF,30/9/2022,0.37260274,0.01148884,1208,1449,1360,1314,0.070310545,0.269984982,0.269560821,0.28412165,0,0.014136668,
77,4,18/5/2022,5,20600,20605.0125,20644.28,20800,HSI20600I2.HF,HSI20600U2.HF,HSI20800I2.HF,HSI20800U2.HF,30/9/2022,0.369863014,0.01171734,1055,1555,1666,965,0.084374276,0.262724136,0.262531528,0.28165179,0,0.018927654,
78,4,19/5/2022,5,20200,20117.6125,20120.68,20000,HSI20200I2.HF,HSI20200U2.HF,HSI20000I2.HF,HSI20000U2.HF,30/9/2022,0.367123288,0.011861828,1030,1613,1510,1123,0.081488251,0.271975477,0.271642258,0,0.26353823,,0.008104028
79,4,20/5/2022,5,20600,20597.75,20717.24,20400,HSI20600I2.HF,HSI20600U2.HF,HSI20400I2.HF,HSI20400U2.HF,30/9/2022,0.364383562,0.011889604,1107,1502,1411,1213,0.080976335,0.265107689,0.264887074,0.26840953,0,0.003301841,
80,4,23/5/2022,5,20600,20506.255,20470.06,20400,HSI20600I2.HF,HSI20600U2.HF,HSI20400I2.HF,HSI20400U2.HF,30/9/2022,0.356164384,0.011964394,1000,1582,1489,1089,0.076221373,0.264878507,0.263059967,0.26840953,0,0.003531023,
81,4,24/5/2022,5,20200,20257.87,20112.1,20400,HSI20200I2.HF,HSI20200U2.HF,HSI20400I2.HF,HSI20400U2.HF,30/9/2022,0.353424658,0.011989032,1024,1530,1640,938,0.071510292,0.267808285,0.268148462,0,0.27252619,,0.004377728
82,4,25/5/2022,5,20200,20181.3875,20171.27,20000,HSI20200I2.HF,HSI20200U2.HF,HSI20000I2.HF,HSI20000U2.HF,30/9/2022,0.350684932,0.011946374,1016,1507,1408,1109,0.078875626,0.266110028,0.265334778,0,0.27252619,,0.007191412
83,4,26/5/2022,5,20200,20137.85,20116.2,20000,HSI20200I2.HF,HSI20200U2.HF,HSI20000I2.HF,HSI20000U2.HF,30/9/2022,0.347945205,0.01195228,969,1519,1412,1061,0.079690295,0.262520585,0.262502031,0.26429283,0.27252619,0.001772245,0.010024159
84,4,27/5/2022,5,20600,20654.33,20697.36,20800,HSI20600I2.HF,HSI20600U2.HF,HSI20800I2.HF,HSI20800U2.HF,30/9/2022,0.345205479,0.011935745,1093,1330,1434,999,0.059170355,0.252803246,0.252927122,0.25403245,0,0.001229204,
85,4,30/5/2022,5,21000,21027.8825,21123.93,21200,HSI21000I2.HF,HSI21000U2.HF,HSI21200I2.HF,HSI21200U2.HF,30/9/2022,0.336986301,0.011925637,1081,1303,1407,985,0.061109219,0.246969368,0.246885676,0.24963532,0,0.002665952,
86,4,31/5/2022,5,21200,21241.6325,21415.2,21400,HSI21200I2.HF,HSI21200U2.HF,HSI21400I2.HF,HSI21400U2.HF,30/9/2022,0.334246575,0.011913201,1189,1211,1301,1085,0.044879345,0.246443698,0.246979672,0.24814607,0,0.001702372,
87,6,1/6/2022,6,21400,21317.18,21294.94,21200,HSI21400L2.HF,HSI21400X2.HF,HSI21200L2.HF,HSI21200X2.HF,30/12/2022,0.580821918,0.016771076,1302,1758,1647,1402,0.045211012,0.238164336,0.239190337,0.23844216,0,0.000277824,
88,6,2/6/2022,6,21000,21034.7775,21082.13,21200,HSI21000L2.HF,HSI21000X2.HF,HSI21200L2.HF,HSI21200X2.HF,30/12/2022,0.578082192,0.016672144,1414,1617,1720,1315,0.040555747,0.241559618,0.241245739,0.24451454,0.24249343,0.002954922,0.001247691
89,6,6/6/2022,6,21400,21414.6,21653.9,21600,HSI21400L2.HF,HSI21400X2.HF,HSI21600L2.HF,HSI21600X2.HF,30/12/2022,0.567123288,0.016611266,1527,1499,1604,1438,0.034909905,0.237535715,0.237860591,0.23546213,0,0.002073585,
90,6,7/6/2022,6,21600,21562.05,21531.67,21400,HSI21600L2.HF,HSI21600X2.HF,HSI21400L2.HF,HSI21400X2.HF,30/12/2022,0.564383562,0.016584907,1302,1715,1605,1405,0.044874921,0.235816701,0.236997867,0.23765817,0.23821955,0.001841469,0.001221683
91,6,8/6/2022,6,22000,21900.5225,22014.59,21800,HSI22000L2.HF,HSI22000X2.HF,HSI21800L2.HF,HSI21800X2.HF,30/12/2022,0.561643836,0.016416902,1358,1677,1575,1463,0.043479921,0.233694482,0.234382217,0.23533271,0,0.001638228,
92,6,9/6/2022,6,22000,21967.835,21869.05,21800,HSI22000L2.HF,HSI22000X2.HF,HSI21800L2.HF,HSI21800X2.HF,30/12/2022,0.55890411,0.016328462,1314,1696,1592,1408,0.037284438,0.232621524,0.232607191,0.23477695,0,0.002155426,
93,6,10/6/2022,6,21600,21687.9,21806.18,21800,HSI21600L2.HF,HSI21600X2.HF,HSI21800L2.HF,HSI21800X2.HF,30/12/2022,0.556164384,0.016314394,1484,1527,1630,1381,0.037340121,0.237261701,0.236645609,0.2393706,0.23544475,0.002108899,0.001200859
94,6,13/6/2022,6,21200,21136.005,21067.58,21000,HSI21200L2.HF,HSI21200X2.HF,HSI21000L2.HF,HSI21000X2.HF,30/12/2022,0.547945205,0.016498252,1313,1782,1654,1412,0.044986678,0.249596203,0.251968433,0.24540279,0.24292958,0.004193413,0.009038853
95,6,14/6/2022,6,21000,20936.045,21067.99,20800,HSI21000L2.HF,HSI21000X2.HF,HSI20800L2.HF,HSI20800X2.HF,30/12/2022,0.545205479,0.018083111,1423,1650,1560,1523,0.044503389,0.252489713,0.251825793,0.25393585,0.25010028,0.001446137,0.001725513
