,forward,datetime,month,strike,mid,close,strike_rev,ric_call,ric_put,ric_call_rev,ric_put_rev,delivery_date,T,r,c,p,p_rev,c_rev,q,iv_call,iv_put,iv_call_ref,iv_put_ref,diff - call,diff - put
0,1,3/5/2022,5,21000,20992.46,21101.89,20800,HSI21000F2.HF,HSI21000R2.HF,HSI20800F2.HF,HSI20800R2.HF,30/6/2022,0.15890411,0.001987923,793,1042,943,894,0.107526038,0.274966188,0.274975775,0.27728623,0.2773722,0.002320042,0.002396425
1,1,4/5/2022,5,21000,20928.7875,20869.52,20800,HSI21000F2.HF,HSI21000R2.HF,HSI20800F2.HF,HSI20800R2.HF,30/6/2022,0.156164384,0.001899994,652,1147,1037,739,0.115241198,0.268588886,0.26812703,0.27158561,0.2773722,0.002996724,0.00924517
2,1,5/5/2022,5,21000,21004.5925,20793.4,21200,HSI21000F2.HF,HSI21000R2.HF,HSI21200F2.HF,HSI21200R2.HF,30/6/2022,0.153424658,0.001869052,599,1160,1281,527,0.112860341,0.262342854,0.263453976,0.26437136,0.26236048,0.002028506,0.001093496
3,1,6/5/2022,5,20200,20145.6925,20001.96,20000,HSI20200F2.HF,HSI20200R2.HF,HSI20000F2.HF,HSI20000R2.HF,30/6/2022,0.150684932,0.001770432,633,1170,1060,728,0.114391784,0.283493732,0.284338401,0.28876576,0.27648913,0.005272028,0.007849271
4,1,10/5/2022,5,19400,19467.9725,19633.69,19600,HSI19400F2.HF,HSI19400R2.HF,HSI19600F2.HF,HSI19600R2.HF,30/6/2022,0.139726027,0.001835814,840,982,1083,743,0.139760696,0.315537684,0.315877026,0.31539148,0.32010145,0.000146204,0.004224424
5,1,11/5/2022,5,19800,19723.4725,19824.57,19600,HSI19800F2.HF,HSI19800R2.HF,HSI19600F2.HF,HSI19600R2.HF,30/6/2022,0.136986301,0.001788899,761,1008,909,862,0.102493806,0.302773508,0.30278201,0.30879152,0.30694214,0.006018012,0.00416013
6,1,12/5/2022,5,19600,19502.8475,19380.34,19400,HSI19600F2.HF,HSI19600R2.HF,HSI19400F2.HF,HSI19400R2.HF,30/6/2022,0.134246575,0.001795986,611,1197,1086,699,0.144191181,0.30963679,0.30946165,0.30661738,0.31066917,0.00301941,0.00120752
7,1,13/5/2022,5,19800,19762.115,19898.77,19600,HSI19800F2.HF,HSI19800R2.HF,HSI19600F2.HF,HSI19600R2.HF,30/6/2022,0.131506849,0.001794189,723,972,877,822,0.137047889,0.296394029,0.29533896,0.29695518,0.30874712,0.000561151,0.01340816
8,1,16/5/2022,5,20000,20004.98,19950.21,20200,HSI20000F2.HF,HSI20000R2.HF,HSI20200F2.HF,HSI20200R2.HF,30/6/2022,0.123287671,0.001915464,669,960,1073,580,0.101031004,0.290232958,0.289860447,0.2953946,0.29173743,0.005161642,0.001876983
9,1,17/5/2022,5,20400,20397.945,20602.52,20200,HSI20400F2.HF,HSI20400R2.HF,HSI20200F2.HF,HSI20200R2.HF,30/6/2022,0.120547945,0.001884523,787,831,737,895,0.101329855,0.286544331,0.286907256,0.29307735,0.28428904,0.006533019,0.002618216
10,1,18/5/2022,5,20600,20605.0125,20644.28,20800,HSI20600F2.HF,HSI20600R2.HF,HSI20800F2.HF,HSI20800R2.HF,30/6/2022,0.117808219,0.001791894,615,941,1054,530,0.155041898,0.274086899,0.274442192,0.27616415,0.28226519,0.002077251,0.007822998
11,1,19/5/2022,5,20200,20117.6125,20120.68,20000,HSI20200F2.HF,HSI20200R2.HF,HSI20000F2.HF,HSI20000R2.HF,30/6/2022,0.115068493,0.001858971,599,992,878,689,0.137559974,0.287911627,0.288674448,0.29128231,0.29679216,0.003370683,0.008117712
12,1,20/5/2022,5,20600,20597.75,20717.24,20400,HSI20600F2.HF,HSI20600R2.HF,HSI20400F2.HF,HSI20400R2.HF,30/6/2022,0.112328767,0.001873244,670,872,773,772,0.139913419,0.279826829,0.280018225,0.28422809,0.28527726,0.004401261,0.005259035
13,1,23/5/2022,5,20600,20506.255,20470.06,20400,HSI20600F2.HF,HSI20600R2.HF,HSI20400F2.HF,HSI20400R2.HF,30/6/2022,0.104109589,0.001835814,560,955,845,651,0.12681251,0.282147368,0.282349789,0.28668124,0.28527726,0.004533872,0.002927471
14,1,24/5/2022,5,20200,20257.87,20112.1,20400,HSI20200F2.HF,HSI20200R2.HF,HSI20400F2.HF,HSI20400R2.HF,30/6/2022,0.101369863,0.001828727,582,878,992,496,0.10446866,0.282981377,0.282973992,0.28607161,0.28559513,0.003090233,0.002621138
15,1,25/5/2022,5,20200,20181.3875,20171.27,20000,HSI20200F2.HF,HSI20200R2.HF,HSI20000F2.HF,HSI20000R2.HF,30/6/2022,0.098630137,0.00187025,561,852,757,655,0.137382364,0.278483388,0.27626693,0.28380751,0.28020452,0.005324122,0.00393759
16,1,26/5/2022,5,20200,20137.85,20116.2,20000,HSI20200F2.HF,HSI20200R2.HF,HSI20000F2.HF,HSI20000R2.HF,30/6/2022,0.095890411,0.001893406,508,854,749,597,0.140315649,0.27016906,0.268935728,0.26807893,0.27623292,0.00209013,0.007297192
17,1,27/5/2022,5,20600,20654.33,20697.36,20800,HSI20600F2.HF,HSI20600R2.HF,HSI20800F2.HF,HSI20800R2.HF,30/6/2022,0.093150685,0.001879233,613,644,747,532,0.064501751,0.249198422,0.252385314,0.25964111,0.25574253,0.010442688,0.003357216
18,1,30/5/2022,5,21000,21027.8825,21123.93,21200,HSI21000F2.HF,HSI21000R2.HF,HSI21200F2.HF,HSI21200R2.HF,30/6/2022,0.084931507,0.001939817,606,620,726,505,0.081047101,0.2519782,0.250535912,0.25548365,0.25528014,0.00350545,0.004744228
19,1,31/5/2022,5,21200,21241.6325,21415.2,21400,HSI21200F2.HF,HSI21200R2.HF,HSI21400F2.HF,HSI21400R2.HF,30/6/2022,0.082191781,0.001952293,722,526,620,614,0.013425326,0.254477675,0.254056891,0.26527888,0.25884553,0.010801205,0.004788639
20,1,1/6/2022,6,21400,21317.18,21294.94,21200,HSI21400G2.HF,HSI21400S2.HF,HSI21200G2.HF,HSI21200S2.HF,29/7/2022,0.15890411,0.002283092,640,1042,938,732,0.091285199,0.245311836,0.244717136,0.24770945,0.24739737,0.002397614,0.002680234
21,1,2/6/2022,6,21000,21034.7775,21082.13,21200,HSI21000G2.HF,HSI21000S2.HF,HSI21200G2.HF,HSI21200S2.HF,29/7/2022,0.156164384,0.002392336,742,903,1010,648,0.076853709,0.248904864,0.248741164,0.25257349,0.25207442,0.003668626,0.003333256
22,1,6/6/2022,6,21400,21414.6,21653.9,21600,HSI21400G2.HF,HSI21400S2.HF,HSI21600G2.HF,HSI21600S2.HF,29/7/2022,0.145205479,0.0023657,869,778,878,765,0.055012341,0.252869945,0.252244363,0.25296778,0.25258399,9.7835E-05,0.000339627
23,1,7/6/2022,6,21600,21562.05,21531.67,21400,HSI21600G2.HF,HSI21600S2.HF,HSI21400G2.HF,HSI21400S2.HF,29/7/2022,0.142465753,0.002477927,640,981,873,732,0.091962886,0.247772574,0.247783688,0.24817396,0.2511113,0.000401386,0.003327612
24,1,8/6/2022,6,22000,21900.5225,22014.59,21800,HSI22000G2.HF,HSI22000S2.HF,HSI21800G2.HF,HSI21800S2.HF,29/7/2022,0.139726027,0.002594831,678,931,828,775,0.090138647,0.244855681,0.2448669,0.24784027,0.25106084,0.002984589,0.00619394
25,1,9/6/2022,6,22000,21967.835,21869.05,21800,HSI22000G2.HF,HSI22000S2.HF,HSI21800G2.HF,HSI21800S2.HF,29/7/2022,0.136986301,0.002673224,632,948,841,726,0.064564929,0.241899904,0.242068702,0.24507052,0.24509531,0.003170616,0.003026608
26,1,10/6/2022,6,21600,21687.9,21806.18,21800,HSI21600G2.HF,HSI21600S2.HF,HSI21800G2.HF,HSI21800S2.HF,29/7/2022,0.134246575,0.002687485,771,802,903,673,0.083995478,0.249354982,0.249502247,0.25666855,0.24918502,0.007313568,0.000317227
27,1,13/6/2022,6,21200,21136.005,21067.58,21000,HSI21200G2.HF,HSI21200S2.HF,HSI21000G2.HF,HSI21000S2.HF,29/7/2022,0.126027397,0.003086931,621,1033,931,713,0.110283467,0.273224855,0.272206174,0.27582805,0.27798847,0.002603195,0.005782296
28,1,14/6/2022,6,21000,20936.045,21067.99,20800,HSI21000G2.HF,HSI21000S2.HF,HSI20800G2.HF,HSI20800S2.HF,29/7/2022,0.123287671,0.00381591,709,909,809,809,0.107671409,0.275214708,0.27523088,0.27555813,0.27288275,0.000343422,0.00234813
29,2,3/5/2022,5,21000,20992.46,21101.89,20800,HSI21000G2.HF,HSI21000S2.HF,HSI20800G2.HF,HSI20800S2.HF,29/7/2022,0.238356164,0.004852599,924,1284,1184,1018,0.098375616,0.270787455,0.270067383,0.27044617,0,0.000341285,
30,2,4/5/2022,5,21000,20928.7875,20869.52,20800,HSI21000G2.HF,HSI21000S2.HF,HSI20800G2.HF,HSI20800S2.HF,29/7/2022,0.235616438,0.004901379,788,1398,1287,876,0.103784932,0.266389334,0.266290498,0.26853449,0,0.002145156,
31,2,5/5/2022,5,21000,21004.5925,20793.4,21200,HSI21000G2.HF,HSI21000S2.HF,HSI21200G2.HF,HSI21200S2.HF,29/7/2022,0.232876712,0.004867676,730,1411,1534,654,0.10405398,0.260689197,0.260790151,0.26283952,0,0.002150323,
32,2,6/5/2022,5,20200,20145.6925,20001.96,20000,HSI20200G2.HF,HSI20200S2.HF,HSI20000G2.HF,HSI20000S2.HF,29/7/2022,0.230136986,0.004861108,782,1411,1305,873,0.099971347,0.281118054,0.280741681,0.2845123,0.28443588,0.003394246,0.003694199
33,2,10/5/2022,5,19400,19467.9725,19633.69,19600,HSI19400G2.HF,HSI19400S2.HF,HSI19600G2.HF,HSI19600S2.HF,29/7/2022,0.219178082,0.004850179,978,1220,1325,883,0.116839355,0.304634603,0.304604873,0,0.30929212,,0.004687247
34,2,11/5/2022,5,19800,19723.4725,19824.57,19600,HSI19800G2.HF,HSI19800S2.HF,HSI19600G2.HF,HSI19600S2.HF,29/7/2022,0.216438356,0.004869402,903,1258,1158,1004,0.094133609,0.294588074,0.294756314,0.29757814,0.29605498,0.002990066,0.001298666
35,2,12/5/2022,5,19600,19502.8475,19380.34,19400,HSI19600G2.HF,HSI19600S2.HF,HSI19400G2.HF,HSI19400S2.HF,29/7/2022,0.21369863,0.005015561,768,1450,1341,850,0.119272164,0.30375168,0.302469059,0.30104844,0.29906653,0.00270324,0.003402529
