,datetime,close,ric_call,ric_put,ric_call_rev,ric_put_rev,delivery_date,T,r,c,p,p_rev,c_rev,q,iv_call,iv_put,iv_call_ref,iv_put_ref,pc,pc_ref
0,2022-05-03,21101.89,HSI21000F2.HF,HSI21000R2.HF,HSI20800F2.HF,HSI20800R2.HF,2022-06-30,0.1589041095890411,0.001987922771551863,793,1042,943,894,0.07404885427759542,0.2586803829197261,0.29205264284294086,0.27728622999999997,0.2773722,-0.11416021394573983,-0.00030962905431086707
1,2022-05-04,20869.52,HSI21000F2.HF,HSI21000R2.HF,HSI20800F2.HF,HSI20800R2.HF,2022-06-30,0.15616438356164383,0.001899993867952024,652,1147,1037,739,0.13252153696807528,0.2760388971406008,0.2580877316924573,0.27158561,0.2773722,0.06948780746981509,-0.020841953782372635
2,2022-05-05,20793.4,HSI21000F2.HF,HSI21000R2.HF,HSI21200F2.HF,HSI21200R2.HF,2022-06-30,0.15342465753424658,0.0018690522331553754,599,1160,1281,527,0.1758430743075606,0.28813310176253126,0.22393003304824655,0.26437136,0.26236048,0.28644009439017415,0.007657748431970646
3,2022-05-06,20001.96,HSI20200F2.HF,HSI20200R2.HF,HSI20000F2.HF,HSI20000R2.HF,2022-06-30,0.1506849315068493,0.0017704318602226035,633,1170,1060,728,0.1594461838758841,0.3021934043080679,0.25760084782450116,0.28876576,0.27648913,0.17292340785343363,0.04435636930096365
4,2022-05-10,19633.69,HSI19400F2.HF,HSI19400R2.HF,HSI19600F2.HF,HSI19600R2.HF,2022-06-30,0.13972602739726028,0.0018358138620779179,840,982,1083,743,0.07794753705240638,0.2858583126608081,0.34400636717830285,0.31539148,0.32010145,-0.16885478980012247,-0.01469682989401322
5,2022-05-11,19824.57,HSI19800F2.HF,HSI19800R2.HF,HSI19600F2.HF,HSI19600R2.HF,2022-06-30,0.136986301369863,0.0017888989656914343,761,1008,909,862,0.06451066178690897,0.2856578092695058,0.3208152648909537,0.30879152,0.30694214,-0.1094795263724001,0.006018638761733142
6,2022-05-12,19380.34,HSI19600F2.HF,HSI19600R2.HF,HSI19400F2.HF,HSI19400R2.HF,2022-06-30,0.13424657534246576,0.0017959862507476354,611,1197,1086,699,0.18940298890575913,0.32710307846405007,0.28371903810103627,0.30661738,0.31066917,0.15274116965441453,-0.01302833539045567
7,2022-05-13,19898.77,HSI19800F2.HF,HSI19800R2.HF,HSI19600F2.HF,HSI19600R2.HF,2022-06-30,0.13150684931506848,0.0017941894790074798,723,972,877,822,0.08494611288181908,0.27342545449682565,0.3195791414416138,0.29695518,0.30874712,-0.14429194036015125,-0.038155247148318416
8,2022-05-16,19950.21,HSI20000F2.HF,HSI20000R2.HF,HSI20200F2.HF,HSI20200R2.HF,2022-06-30,0.1232876712328767,0.0019154643263384673,669,960,1073,580,0.12245269448130527,0.29893123527248355,0.2795408020974445,0.2953946,0.29173743,0.06930371107116251,0.012524662556145039
9,2022-05-17,20602.52,HSI20400F2.HF,HSI20400R2.HF,HSI20200F2.HF,HSI20200R2.HF,2022-06-30,0.12054794520547946,0.0018845231702267953,787,831,737,895,0.017949383909442552,0.2478300909383507,0.3210102386604902,0.29307735,0.28428904,-0.22780687950377043,0.03088702667798615
10,2022-05-18,20644.28,HSI20600F2.HF,HSI20600R2.HF,HSI20800F2.HF,HSI20800R2.HF,2022-06-30,0.1178082191780822,0.0017918935993079708,615,941,1054,530,0.1370861624729732,0.2670148834912025,0.2828764000959958,0.27616415,0.28226519,-0.05603184915163362,-0.02159820998674411
11,2022-05-19,20120.68,HSI20200F2.HF,HSI20200R2.HF,HSI20000F2.HF,HSI20000R2.HF,2022-06-30,0.11506849315068493,0.001858971042137308,599,992,878,689,0.1339944830680382,0.28656122360237635,0.29038710155352054,0.29128231,0.29679216,-0.013164655641818013,-0.01854943315198243
12,2022-05-20,20717.24,HSI20600F2.HF,HSI20600R2.HF,HSI20400F2.HF,HSI20400R2.HF,2022-06-30,0.11232876712328767,0.0018732443816804189,670,872,773,772,0.08730917580072739,0.2582591409610943,0.3025130088571932,0.28422809,0.28527726000000003,-0.14618835246311312,-0.0036749349758700145
13,2022-05-23,20470.06,HSI20600F2.HF,HSI20600R2.HF,HSI20400F2.HF,HSI20400R2.HF,2022-06-30,0.10410958904109589,0.0018358138620779179,560,955,845,651,0.1420992954053329,0.2875602672621689,0.27517595379102044,0.28668124,0.28527726000000003,0.04497348882095764,0.004917958256007049
14,2022-05-24,20112.1,HSI20200F2.HF,HSI20200R2.HF,HSI20400F2.HF,HSI20400R2.HF,2022-06-30,0.10136986301369863,0.0018287268592867307,582,878,992,496,0.17396210575594756,0.30774038303579065,0.2509252034782715,0.28607161000000003,0.28559513,0.22625840469852432,0.0016672236908148452
