datetime,close,low,high,open,spc,rsq
2006-01-03,14944.77,14843.97,14945.05,14843.97,-0.03133387882393316,0.9811463643776299
2006-01-04,15200.06,15085.44,15208.86,15112.76,0.08788966181618392,0.25496497108576216
2006-01-05,15271.13,15261.82,15373.79,15313.85,0.07158395738883272,0.2370916029275556
2006-01-06,15344.44,15252.48,15347.0,15327.29,0.03877091184712876,0.17254273357448371
2006-01-09,15547.43,15497.72,15602.88,15497.97,0.043019608402045835,0.1912961005893336
2006-01-10,15569.91,15500.16,15658.91,15638.4,-0.020934126790641567,0.9883301715067251
2006-01-11,15650.88,15584.54,15725.47,15584.54,0.10824234954743603,0.2852463608417035
2006-01-12,15719.37,15651.96,15791.3,15767.94,0.09920062027367779,0.25978638349141714
2006-01-13,15787.97,15670.77,15792.36,15672.39,0.05901430501604442,0.21873045340762015
2006-01-16,15777.72,15745.04,15816.54,15787.27,-0.008677262473537943,0.127374356427041
2006-01-17,15576.2,15550.23,15798.52,15798.52,-0.016018395520613155,0.5784742938892194
2006-01-18,15481.21,15376.45,15525.6,15426.92,-0.025390435874463654,0.9894069640941446
2006-01-19,15670.42,15549.68,15675.27,15555.78,0.06207604233827928,0.14813085395588468
2006-01-20,15662.08,15565.51,15788.07,15700.71,-0.02575504747503977,0.9778532747094605
2006-01-23,15464.77,15412.26,15497.93,15454.8,-0.02686877627490756,0.9957305258178256
2006-01-24,15530.57,15463.11,15551.66,15540.92,-0.030209378328170746,0.9937218185591006
2006-01-25,15520.39,15487.68,15572.38,15560.66,0.03670694951071659,0.08522834397014606
2006-01-26,15520.07,15469.24,15563.4,15550.33,0.02502049329558756,0.05648668661819629
2006-01-27,15753.14,15650.69,15770.45,15659.21,0.08676937870480313,0.14177978619698622
2006-02-01,15742.3,15653.9,15808.18,15798.44,-0.027489512008019322,0.990584503769703
2006-02-02,15691.69,15666.94,15775.65,15771.34,-0.013779888898444729,0.9949706002474918
2006-02-03,15429.73,15420.66,15486.74,15472.03,-0.027068534444546405,0.9980458959784241
2006-02-06,15548.06,15374.89,15564.96,15415.88,-0.027782887268719976,0.9883940151373417
2006-02-07,15517.01,15466.47,15560.4,15558.52,-0.014150786827603753,0.2828359509599097
2006-02-08,15373.44,15327.07,15469.51,15451.21,-0.005753435491078553,0.04491849315448857
2006-02-09,15413.43,15371.73,15467.67,15443.43,-0.018539178182041646,0.6169981760455147
2006-02-10,15425.95,15355.44,15443.45,15365.39,-0.024667898968063273,0.9908469172230453
2006-02-13,15312.09,15267.95,15355.39,15303.04,-0.02282931205541014,0.8965282516199836
2006-02-14,15420.32,15240.95,15445.07,15241.66,-0.02564665506176828,0.9077285041160199
2006-02-15,15423.26,15316.63,15514.93,15449.14,-0.031230739926201952,0.993784312221075
2006-02-16,15450.88,15436.53,15495.8,15495.8,-0.03125383514359917,0.9943967049531558
2006-02-17,15475.69,15437.54,15520.6,15517.92,-0.02417238841425516,0.9770707372702166
2006-02-20,15598.67,15525.74,15627.05,15525.74,-0.021530901549487877,0.9615463389476845
2006-02-21,15627.24,15567.63,15661.2,15651.74,-0.025753159205057517,0.9869440907566163
2006-02-22,15635.72,15584.27,15641.78,15613.86,-0.025772369812846422,0.9945603680673155
2006-02-23,15812.53,15611.55,15849.86,15651.78,-0.023551213495239087,0.9860115132209264
2006-02-24,15856.05,15779.79,15875.33,15848.5,-0.023722591776568148,0.9809908211182299
2006-02-27,15949.89,15890.8,15999.31,15943.64,-0.02298209791475427,0.971984239108614
2006-02-28,15918.48,15824.45,15928.08,15920.49,-0.02928665265119779,0.9693937096010266
2006-03-01,15818.09,15768.21,15887.63,15768.21,-0.022710226736565732,0.9636788177191168
2006-03-02,15882.45,15836.36,15922.95,15905.94,-0.02411495326013831,0.9767591846035438
2006-03-03,15802.0,15802.0,15896.56,15887.67,-0.022433437375997477,0.9830838227435584
2006-03-06,15811.83,15777.0,15845.2,15812.72,-0.020939727742558166,0.9857781937405591
2006-03-07,15602.36,15560.62,15835.47,15835.47,-0.024539983231209966,0.9726720185359021
2006-03-08,15493.09,15348.22,15555.82,15545.42,-0.026361855492384893,0.9642269831104625
2006-03-09,15510.13,15458.78,15555.61,15526.09,-0.025284357662076994,0.9499739159357656
2006-03-10,15445.05,15397.18,15521.4,15521.4,-0.029389271363196252,0.9296257137870946
2006-03-13,15542.07,15469.77,15545.85,15542.79,-0.027182694682042163,0.9706578427716114
2006-03-14,15519.76,15461.81,15548.27,15548.13,-0.03190548537117288,0.9612475663816955
2006-03-15,15720.36,15647.0,15762.11,15647.43,-0.028831351290385856,0.9767525963255439
2006-03-16,15729.04,15668.34,15773.73,15753.36,-0.032656448072680526,0.9754997522462889
2006-03-17,15801.66,15715.41,15845.97,15778.48,-0.029095482968705958,0.9654351715736478
2006-03-20,15929.95,15862.9,15973.01,15868.49,-0.025953000286854152,0.9210024382513374
2006-03-21,15922.75,15870.73,15936.18,15911.49,-0.026272216300947414,0.9031922598872802
2006-03-22,15642.81,15619.14,15840.14,15790.45,-0.028359663766944865,0.9804313207294871
2006-03-23,15771.17,15669.47,15772.93,15689.61,-0.02603484895569716,0.9712142797493665
2006-03-24,15716.46,15671.63,15792.04,15778.18,-0.030186818225984742,0.9795874520671632
2006-03-27,15815.87,15694.11,15847.75,15743.67,0.005939391994507256,0.011901990875814084
2006-03-28,15856.58,15787.0,15920.07,15824.53,-0.0213907400130051,0.9840719961118474
2006-03-29,15745.11,15729.26,15843.1,15790.43,-0.02637803207709294,0.9883926613075652
2006-03-30,15880.69,15819.42,15954.91,15819.42,-0.018835463921801063,0.992306871917129
2006-03-31,15805.04,15739.19,15964.35,15942.73,-0.03011223141036536,0.989069636159587
2006-04-03,16063.75,15877.44,16076.74,15904.97,0.02832076567784064,0.07380119723931984
2006-04-04,16100.09,16039.51,16121.22,16107.22,-0.011744453880307018,0.11220679424978976
2006-04-06,16411.13,16190.55,16423.31,16222.29,-0.017819258861700535,0.3319591919713428
2006-04-07,16471.78,16328.63,16534.83,16415.52,0.03176486443039673,0.09475926170511562
2006-04-10,16521.59,16374.59,16527.94,16383.58,-0.01941048630606367,0.9341235741564433
2006-04-11,16475.81,16381.01,16505.76,16480.86,-0.012686342531517803,0.5435514058227038
2006-04-12,16310.76,16260.88,16427.56,16414.37,-0.016196109739366176,0.7036259808987989
2006-04-13,16429.45,16308.77,16446.67,16360.16,-0.01624329496262585,0.6861397105550402
2006-04-18,16637.53,16533.07,16643.8,16534.9,-0.024898514175024436,0.9827806988473831
2006-04-19,16830.44,16780.53,16897.81,16858.03,-0.020734144295022853,0.9797662805158635
2006-04-20,16944.34,16753.19,16953.25,16888.88,-0.022786099266450317,0.9453801634812937
2006-04-21,16912.15,16808.62,16991.52,16893.52,-0.022388557681592706,0.8894004173482333
2006-04-24,16705.67,16678.31,16930.01,16917.61,-0.021975357476495355,0.933931469440125
2006-04-25,16577.77,16547.3,16746.31,16734.83,-0.020941246620547374,0.9917370574649923
2006-04-26,16672.66,16539.07,16739.27,16628.6,-0.016423516439323566,0.9950843918759334
2006-04-27,16742.85,16728.85,16856.97,16749.48,-0.024004193927975516,0.9759031681225921
2006-04-28,16661.3,16429.5,16672.41,16461.6,-0.018121190737937116,0.9976571614517129
2006-05-02,16868.04,16744.16,16896.86,16764.59,-0.015302912203996988,0.882785974330997
2006-05-03,17026.98,16970.4,17099.48,17066.98,-0.021635235862665542,0.8032535552103576
2006-05-04,17013.93,16966.24,17076.92,16966.24,-0.02146832742090031,0.7979389703741483
